0,100.0
1,25.0
2,14.285714285714285
3,6.666666666666667
4,3.225806451612903
5,1.639344262295082
6,0.8130081300813009
7,0.40816326530612246
8,0.20366598778004072
9,0.10172939979654119
10,0.05083884087442806
11,0.025412960609911054
12,0.012704865963664082
13,0.006352029473416756
14,0.003176115610608226
15,0.0015880325864286737
16,7.940099886456572E-4
17,3.970034181994307E-4
18,1.9850210312978269E-4
19,9.925115007270147E-5
20,4.9625550409385976E-5
21,2.4812769047956382E-5
22,1.2406386063162153E-5
23,6.203192646785062E-6
24,3.101596227193537E-6
25,1.5507981376465167E-6
26,7.75399062810821E-7
